Name,Weapon,Class,Ability Tree,AP,Purpose,Type,Hit Type,Target Type,Attack Type,Applied Vulnerability,Applied Status,Anima Deviation,Cast Time,Cooldown,Augments,Affects,Indirect Affects,Description
Pump Action,Shotgun,Ranged,Enforce,1,Damage,Active - Builder,Single Hit,Cone,Normal,None,None,No,1000,0,Damage,,,Cone: Affects up to 6 enemies in a 60 degree 7 metre in front of you. Builds 1 resource for each equipped weapon. A cone attack that deals 27 physical damage
Sawed Off,Shotgun,Ranged,Enforce,1,Debuff,Passive,N/A,N/A,Normal,None,Debilitated,No,N/A,N/A,N/A,Pump Action,,"""Pump Action"" will also cause affected targets to become Weakened by a single stack of the Debilitated effect, which reduces all damage dealt by 3% per stack for 10 seconds. This effect can stack up to 10 times"
Out for a Kill,Shotgun,Ranged,Enforce,1,Damage,Active - Consumer,Single Hit,Single Target,Normal,None,None,No,1000,4000,Damage,,,"Consumes all Shotgun Resources. A single target attack that deals 91 - 179 physical damage, based on the number of resources consumed. Enermies who are killed shortly after being hit will grant you a beneficial effect for 8 seconds which increases the Penetration Chance of your attacks from manifestations, turrets, mines or drones by 10%"
Dead on Target,Shotgun,Ranged,Enforce,2,Damage,Passive,N/A,N/A,Normal,None,None,No,N/A,N/A,N/A,Shotgun,,Increases direct damage dealt by Shotgun abilities by 10%
Buckshot,Shotgun,Ranged,Enforce,3,Damage,Active,Single Hit,Single Target,Normal,None,None,No,1500,10000,Damage,,,"A single target attack that deals 125 physical damage, or 137 physical damage if you have 5 Shotgun resources on the target"
Rapid Reload,Shotgun,Ranged,Enforce,4,Cooldown,Passive,N/A,N/A,Normal,None,None,No,N/A,N/A,N/A,Buckshot,,"Reduces the activation time of ""Buckshot"" by 0.5 seconds."
Kneecapper,Shotgun,Ranged,Enforce,7,Damage,Active - Elite,Single Hit,Cone,Normal,,Hindered,Yes,1000,25000,"Damage, Support",,,Cone: Affects up to 10 enemies in a 60 degree 9 metre cone in front of you. A cone attack that deals 348 physical damage. Affected targets also become Hindered and their movement speed is reduced by 70% for 8 seconds.
Hit & Run,Shotgun,Ranged,Control,1,Damage,Passive,Single Hit,TAoE,Normal,None,None,No,N/A,N/A,N/A,Shotgun Resources,,"Whenever an enemy dies with your Shotgun Resources remaining, an explosion occurs around that enemy, dealing 35 physical damage up to 6 enemies in a 3 metre radius"
Powder Burn,Shotgun,Ranged,Control,1,Damage,Active - Builder,Single Hit,Single Target,Strike,None,None,No,1000,0,Damage,,,"Builds 1 resource for each equipped weapon. A single target Strike attack that deals 49 physical damage, or 56 physical damage if the target is Hindered"
Gunsmoke,Shotgun,Ranged,Control,1,Damage,Passive,Single Hit,N/A,Normal,None,None,No,N/A,N/A,N/A,Weakened,,"Whenever you apply Weakened, the target takes 7 physical damage"
